sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels,base_label,small_label,swatch_label,thumbnail_label
NLK3303M,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Barrington 53"" Traditional Single Sink Bathroom Vanity","
A beautiful Willington vanity is a new edition to a classic style bathroom vanity. This 53"" single sink vanity will be the keystone of your bathroom. The strong, classic design commands attention and speaks volume about your elegant taste. The exceptional detailing and solid marble counter top are hand done. Cast iron door add chime and provide great space for visible decor.
Features Include:
Cream marble counter top.
Biscuit undermount basin.
Decorative cast iron side doors.
Two front doors with storage compartment with half shelves.
Countertop has 3 predrilled holes for 8"" widespread faucet.
Fully assemble.
Pop-up included.
Faucet sold separately
One-year warranty.",,,1,Taxable Goods,"Catalog, Search","1,015.00",,,,"barrington-53""-traditional-single-sink-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLK3303M;specifications=Specifications
Vanity Dimensions:
Width: 53.00""
Height: 37.25""
Depth: 21.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLK3303M_1.jpg;NLK3303M_2.jpg;NLK3303M_3.jpg;NLK3303M_4.jpg;NLK3303M_5.jpg,,,,,,,,,,,,,,,,
NLHF006,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Ashlie 24"" Modern Single Sink Mirror Bathroom Vanity - Silver Trim","
This all mirror inlaid petite bathroom vanity is perfect item for any powder room. Two large drawers with ample storage space; center drawer has a U-shape cut for easy plumbing access. However, top drawer is not functional. Counter top is one piece off white genuine marble with Ogee Edge cut. White under mounted porcelain sink, drain extension, P-trap all-inclusive in the low price.
Fully assembled by manufacturer, sink and counter top pre-installed
Crystal White marble counter top
White under mount porcelain basin
2 front drawers with ample storage space inside, finish in natural wood color 
Full extension metal slides
Faucet sold separately - 8"" wide spread 3 holes",,,1,Taxable Goods,"Catalog, Search",786.00,,,,"ashlie-24""-modern-single-sink-mirror-bathroom-vanity---silver-trim",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLHF006;specifications=Specifications
Vanity Dimensions:
Width: 24.00""
Height: 35.00""
Depth: 21.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLHF006_1.jpg;NLHF006_2.jpg,,,,,,,,,,,,,,,,
NLBWV-025-36,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Ashley 36"" Modern Single Sink Mirror Bathroom Vanity - Silver Trim","
Ashley meets contemporary classic in this exquisite creation worthy of an empress. This vanity provides opulence with lavish materials and premium features.
Imperial Marble Countertop
Vanity Color: Metallic Silver
Beveled mirror veneer with silver trim
White under-mount porcelain sink
FWM-015-2940 Matching mirror included in the price. Size: 29x40""H
Faucet sold separately 8"" spread - 3 holes
Optional Backsplash
Fully Assembled by the manufacturer, sink and countertop pre-installed",,,1,Taxable Goods,"Catalog, Search","1,017.00",,,,"ashley-36""-modern-single-sink-mirror-bathroom-vanity---silver-trim",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLBWV-025-36;specifications=Specifications
Vanity Dimensions:
Width: 36.00""
Height: 35.50""
Depth: 22.00""
Mirror Dimensions:
Width: 30.00""
Height: 40.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLBWV-025-36_1.jpg;NLBWV-025-36_2.jpg;NLBWV-025-36_3.jpg,,,,,,,,,,,,,,,,
NLL-33130M,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Baldwin Traditional 60"" Brown Double Bathroom Vanity","
The “Baldwin,"" master of the old world look vanity will take the word décor to the next level. This antique style vanity sets a bold yet stunning new look for your bathroom. Cream-marble counter top is made of the highest quality, will resist prolonged exposure to humid conditions, and has long durability. Two side compartments with half shells provide plenty of storage space. The two top drawers are decorative only, the rest are functional and are good storage spaces.
Fully Assembled by manufacturer, sink and counter top pre-installed
Chestnut finish
Bisque under mount basins
Center column drawers are all functional
Faucets sold separately - 8"" spread
Optional back splash available",,,1,Taxable Goods,"Catalog, Search","1,619.00",,,,"baldwin-traditional-60""-brown-double-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLL-33130M;specifications=Specifications
Vanity Dimensions:
Width: 60.25""
Height: 36.00""
Depth: 22.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLL-33130M_1.jpg;NLL-33130M_2.jpg,,,,,,,,,,,,,,,,
NLK2261M,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Oakvale 53"" Traditional Single Sink Bathroom Vanity","
Give your bathroom an upscale appearance with this striking Oakvale bathroom sink vanity. This piece is carefully handcrafted of solid wood. A smooth, rich mahogany finish brings class and elegance. A beautiful cream color nature marble counter top completes the look for a sumptuous effect and has a long last durability. Two upper side drawers are fully functional. 
Mahogany brown finish
Cream nature marble counter top (genuine one piece)
Bisque under mount porcelain sink
2 front doors with large storage compartment; half shelves
All 8 drawers are functional
Optional back splash available please add at the drop down box below
Faucet sold separately - 8"" wide spread 3 holes
Fully Assembled by manufacturer, sink and counter top pre-installed",,,1,Taxable Goods,"Catalog, Search","1,083.00",,,,"oakvale-53""-traditional-single-sink-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLK2261M;specifications=Specifications
Vanity Dimensions:
Width: 53.00""
Height: 35.50""
Depth: 22.50""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLK2261M_1.jpg;NLK2261M_2.jpg;NLK2261M_3.jpg;NLK2261M_4.jpg;NLK2261M_5.jpg;NLK2261M_6.jpg;NLK2261M_7.jpg;NLK2261M_8.jpg;NLK2261M_9.jpg,,,,,,,,,,,,,,,,
NLQ226BN,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Modern 36"" Vessel Single Sink Bathroom Vanity","
New additional to our arsenal of over mounted vessel sink bathroom vanity, the Artturis sink vanity is one of the signature item for Benton Collection bathroom vanities.

Designed for both character and functionality, the cabinet is made with sturdy wood body frame and Birch veneer, cast iron front doors adds great look and a touch of elegance. Finished in medium brown mahogany color, accompany with a piece of hand polish brown marble counter top complete the unique look. Tempered glass vessel bowl and a full set of chrome finish faucet are all included in price.

Features:
Medium brown mahogany finish
Emperador Dark Marble counter top - features a deep brown background with hints of lighter brown areas accented with white/ beige veining.
This marble has a rich and warm feel that compliments many design styles.
Storage compartment with half shelves
Cast iron work on doors
Simple assembly required; counter top packaged separately
Chrome faucet set, push-up drainage cap inclusive
No back splash is available
Simple assembly required",,,1,Taxable Goods,"Catalog, Search",994.00,,,,"modern-36""-vessel-single-sink-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLQ226BN;specifications=Specifications
Vanity Dimensions:
Width: 36.00""
Height: 32.25""
Depth: 20.50""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLQ226BN_1.jpg;NLQ226BN_2.jpg;NLQ226BN_3.jpg;NLQ226BN_4.jpg,,,,,,,,,,,,,,,,
NLBWV-025-30,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Ashley 30"" Modern Single Sink Mirror Bathroom Vanity","
Ashley meets contemporary classic in this exquisite creation worthy of an empress. This vanity provides opulence with lavish materials and premium features.
Imperial Marble Countertop
Vanity Color: Metallic Silver
Beveled mirror veneer with silver trim
White under-mount porcelain sink
FWM-025-3040 Matching mirror inclusive in the price. Size: 30x40""H
Faucet sold separately 8"" spread - 3 holes
Optional Backsplash 
Mirror included in the price FWM-025-3040
Fully Assembled by the manufacturer, sink and countertop pre-installed",,,1,Taxable Goods,"Catalog, Search",925.00,,,,"ashley-30""-modern-single-sink-mirror-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLBWV-025-30;specifications=Specifications
Vanity Dimensions:
Width: 30.00""
Height: 35.50""
Depth: 22.00""
Mirror Dimensions:
Width: 30.00""
Height: 40.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLBWV-025-30_1.jpg;NLBWV-025-30_2.jpg,,,,,,,,,,,,,,,,
NLQ077-8G,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Millenium 46"" Modern Single Bathroom Vanity","
Our Millenium Modern Sink Cabinet has a sleek & beautiful design, which will complement many of today's modern bathroom decors. This bathroom vanity features durable wood construction with a thick granite counter top.
Features Include:
Black galaxy granite counter top.
Tempered glass vessel.
Mat Black birch veneer with texture.
All drawers are functional.
Storage compartment with half shelves.
Pop-up included.
North American standard fits all connections.
One-year warranty.",,,1,Taxable Goods,"Catalog, Search",956.00,,,,"millenium-46""-modern-single-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLQ077-8G;specifications=Specifications
Vanity Dimensions:
Width: 46.00""
Height: 31.00""
Depth: 20.50""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLQ077-8G_1.jpg;NLQ077-8G_2.jpg,,,,,,,,,,,,,,,,
NLBWV-026,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Modern 32"" Single Sink Bathroom Vanity","
This modern bathroom vanity is an exquisite design. Features include durable wood construction with a thick honey color hand-polished solid marble top. 
Designer tempered glass bowl and a full set of chrome finish faucet are all included in price.
Dark brown finish cabinet
Faux wood pattern glass bowl
Two drawers with full extension metal glides drawers natural wood finish 
Onyx counter top 
Faucet set, push up drainage system and flexible host all inclusive",,,1,Taxable Goods,"Catalog, Search",994.00,,,,"modern-32""-single-sink-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLBWV-026;specifications=Specifications
Vanity Dimensions:
Width: 32.00""
Height: 31.00""
Depth: 22.00""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLBWV-026_1.jpg;NLBWV-026_2.jpg,,,,,,,,,,,,,,,,
NLHF1217GF,,Default,simple,Default Category/Brands;Default Category/Brands/Chans Furniture,base,"Chans Oriental 42"" Traditional Single Sink Bathroom Vanity","
This vanity with Granite Top Single Bathroom Vanity is absolutely gorgeous anyway you look at it. From the wooden pattern door design to the simply stunning glass vessel bowl sink, it's a true pleasure to look at. Not just eye appealing, it's quite functional as well. This exquisite rectangular glass vessel sink features striking shades of brown and gold. The designer, materials and crafts people behind the making of this vanity set are of the highest quality caliber in every regard. They have taken the time to bring together a look that is nothing short of remarkable. 
Cherry wood finish
One piece genuine marble counter top – Portoro marble
Rectangle glass basin inclusive
Faucet set, flexible hose & push up drainage cap all inclusive
Simple assembly required",,,1,Taxable Goods,"Catalog, Search","1,056.00",,,,"chans-oriental-42""-traditional-single-sink-bathroom-vanity",,,,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,,TY-650PW_1.jpg,"10/20/19, 4:50 AM","10/20/19, 4:50 AM",10/20/2019,10/21/2019,Block after Info Column,,,,Use config,,,,,3 columns,,Use config,,"brand=Chans Furniture;coming_soon=NO;model=NLHF1217GF;specifications=Specifications
Vanity Dimensions:
Width: 42.00""
Height: 33.00""
Depth: 20.00""
Glass vessel sink Dimensions:
Width: 21.00""
Height: 4.50""
Depth: 12.50""",22,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,NLHF1217GF_1.jpg;NLHF1217GF_2.jpg;NLHF1217GF_3.jpg,,,,,,,,,,,,,,,,
